len,ns,cnt
3,1919200,9
100,5900,40
225,6800,40
3,1300,0
350,5300,40
475,4900,40
4,5500,10
600,6100,40
4,3400,12
725,5500,40
850,6900,40
4,4100,11
975,4900,40
4,3200,12
1100,6900,40
1225,5000,40
4,1400,0
1350,5100,40
1475,4400,40
4,2200,0
1600,4000,40
4,2500,12
1725,3900,40
1850,4100,40
4,3900,12
1975,4800,40
4,3400,12
2100,4100,40
2225,5000,40
3,1200,0
2350,4300,40
2475,4100,40
5,3300,15
2600,5400,40
5,5500,15
2725,5300,40
2850,4600,40
5,8600,15
2975,5600,40
4,2800,12
3100,6800,40
3225,4200,40
5,3800,15
3350,7000,40
3475,5400,40
4,1400,0
3600,4900,40
5,4200,15
3725,4300,40
3850,4000,40
5,5000,15
3975,42200,40
5,3200,14
4100,4700,40
4225,4400,40
5,3200,15
4350,4000,40
4475,4600,40
5,2900,15
4600,4200,40
5,3700,15
4725,4300,40
4850,3900,40
4,3000,12
4975,4200,40
4,2900,12
5100,4400,40
5225,4200,40
5,3100,15
5350,4600,40
5475,4500,40
5,4100,12
5600,6400,40
5,3300,15
5725,5200,40
5850,4100,40
5,3100,14
5975,4200,40
5,2800,15
6100,3900,40
6225,4200,40
4,1100,0
6350,4900,40
6475,4200,40
5,5200,14
6600,4900,40
4,1900,0
6725,4500,40
6850,4300,40
5,3000,15
6975,4200,40
5,3100,15
7100,4900,40
7225,4700,40
5,7400,15
7350,4500,40
7475,4600,40
5,3900,15
7600,3600,40
5,3100,15
7725,5700,40
7850,4500,40
5,3000,15
7975,4600,40
4,1000,0
8100,4500,40
8225,3900,40
5,3500,14
8350,4400,40
8475,17400,40
5,3200,15
8600,6800,40
4,600,0
8725,1800,40
8850,2300,40
5,1800,15
8975,1900,40
5,1700,15
9100,2500,40
9225,3400,40
5,2700,15
9350,1900,40
9475,2000,40
5,1800,15
9600,2400,40
5,1600,15
9725,2400,40
9850,2500,40
5,1900,15
9975,2700,40
